cmtid,ctime,author_username,comment,rating_star
"2914453654","1598631176","beechunette","Barang sudah tiba dengan aman. Pengiriman juga cepat, yang Senoparty ini baunya mirip-mirip Baccarat Rouge 540. Terima kasih","5"
"7570563723","1645611318","isabelapa98","Wangi:ternyata ga sesuai ekspektasi tapi overall wanginya enak. Ketahanan:bisa sampai 10 jam di pake indoor. Kemasan:packaging oke bangeeet ga rusak sama sekali","4"
"6784420029","1638472495","r*****a","Kemasan:rapih. Ketahanan:8-9 jam. Wangi: . . Karna bosen pake parfum onix yang FBW, penasaran sama Senoparty dan ternyata jujur wanginya kurang cocok di penciuman saya maaf banget.","3"
"9241974759","1660275067","s*****8","Tekstur:bagus. Performa:wangiiiii. Cocok Untuk:anak muda dan dewasa baunya enak. gak bikin pusinggg","5"
"7371164730","1643707648","fadhilarraziq","Wangi:wanginya sangat enak,tidak menyengat. Ketahanan:tahan dalam beberapa hari. Kemasan:sangan bagus","5"
"2532899365","1591953386","daruu99","thx min produk nya sudah sampai, . wanginya enak. wangi nya juga ga terlalu nyengat. wadaw","5"
"3661561455","1608375522","bayuadinugesti","Barang sudah si terima, setelah sekian lama antri hadirnya akhirnya kebagian juga.. . Thanks admin. . Suka banget sama wanginya","5"
"3113727894","1601695846","winanda_92","Pengiriman aman ditambah bubble warp.. barang cepat sekali sampai, wanginya enak.. suami saya suka.. next dia minta beli yang fwb dong.. heheh","5"
"8014793049","1649492166","trisna_chandra","Kemasan:keren sihh. Wangi:wanginya menurut aku kaya baccarat sihh. Ketahanan:blm dicoba","5"
"3226954241","1603213071","tryasinantryaa","Seller ramah dan fast respon balesnya bisa req untuk kado, packaging aman, terima kasih banyakk","5"
"4160742522","1614326047","faisalmaulana2332","Kemasan:Sangat rapi dan no bocor"". Ketahanan:Tahan lama. Wangi:Wangi bangettt asli","5"
